audio_file,language,filter_method,sensitive_words_count,audio_duration,total_time,real_time_factor,memory_used,segments_count,filtered_words_count,success,test_case,word_set,length_category
【课外侦探组1】第2章，被人盯梢的小侦探_1.mp3,zh,DFA,10,338.94,42.15504741668701,0.12437318527375646,-39.73828125,151,39,True,audio_length,medium,long
【课外侦探组1】第2章，被人盯梢的小侦探_1.mp3,zh,aho_corasick,10,338.94,42.00773596763611,0.12393856130181186,3.890625,151,39,True,audio_length,medium,long
【课外侦探组1】第2章，被人盯梢的小侦探_1.mp3,zh,trie_tree,10,338.94,42.02349352836609,0.12398505201028527,-0.203125,151,39,True,audio_length,medium,long
【课外侦探组1】第2章，被人盯梢的小侦探_1.mp3,zh,replace,10,338.94,41.88811635971069,0.12358563863725348,-0.09765625,151,39,True,audio_length,medium,long
【课外侦探组1】第2章，被人盯梢的小侦探_1.mp3,zh,regular_expression,10,338.94,41.86769366264343,0.12352538402856976,8.3984375,151,39,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_1.mp3,zh,DFA,10,369.94,47.54665732383728,0.12852532119759225,15.19921875,175,29,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_1.mp3,zh,aho_corasick,10,369.94,47.1686429977417,0.127503495155273,8.9140625,175,29,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_1.mp3,zh,trie_tree,10,369.94,47.362871408462524,0.1280285219453493,5.34375,175,29,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_1.mp3,zh,replace,10,369.94,47.798564195632935,0.129206261003495,-6.71484375,175,29,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_1.mp3,zh,regular_expression,10,369.94,47.61488103866577,0.12870973952172182,8.38671875,175,29,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_2.mp3,zh,DFA,10,398.08,56.138320446014404,0.14102271012362944,5.08203125,203,51,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_2.mp3,zh,aho_corasick,10,398.08,56.1037712097168,0.1409359204424156,-15.53515625,203,51,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_2.mp3,zh,trie_tree,10,398.08,57.04961848258972,0.14331194353544444,-25.25390625,203,51,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_2.mp3,zh,replace,10,398.08,56.14152240753174,0.1410307536362835,40.03515625,203,51,True,audio_length,medium,long
【课外侦探组1】第4章，办公室里的窃案_2.mp3,zh,regular_expression,10,398.08,56.29018688201904,0.14140420740057036,-27.76171875,203,51,True,audio_length,medium,long
【课外侦探组1】第14章，边打扑克边开会_2.mp3,zh,DFA,10,292.06,40.33417010307312,0.13810234233744134,19.83203125,157,51,True,language_comparison,medium,
【课外侦探组1】第14章，边打扑克边开会_2.mp3,zh,aho_corasick,10,292.06,40.213112592697144,0.13768784699273143,-15.48046875,157,51,True,language_comparison,medium,
【课外侦探组1】第14章，边打扑克边开会_2.mp3,zh,trie_tree,10,292.06,40.27020049095154,0.1378833133292869,-4.55859375,157,51,True,language_comparison,medium,
【课外侦探组1】第14章，边打扑克边开会_2.mp3,zh,replace,10,292.06,43.169280767440796,0.1478096307862795,17.34765625,157,51,True,language_comparison,medium,
【课外侦探组1】第14章，边打扑克边开会_2.mp3,zh,regular_expression,10,292.06,40.45501518249512,0.13851611032834046,11.66796875,157,51,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_1.mp3,zh,DFA,10,269.6,33.75398230552673,0.1252002311035858,-13.90625,115,23,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_1.mp3,zh,aho_corasick,10,269.6,33.9471480846405,0.1259167213821977,16.73046875,115,23,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_1.mp3,zh,trie_tree,10,269.6,33.71247887611389,0.12504628663246992,-21.4375,115,23,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_1.mp3,zh,replace,10,269.6,33.70185852050781,0.1250068936220616,4.828125,115,23,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_1.mp3,zh,regular_expression,10,269.6,33.77335524559021,0.12527208918987465,19.76171875,115,23,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_2.mp3,zh,DFA,10,266.08,34.59426498413086,0.13001452564691393,-17.6328125,140,30,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_2.mp3,zh,aho_corasick,10,266.08,34.525853395462036,0.1297574165493913,10.53515625,140,30,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_2.mp3,zh,trie_tree,10,266.08,34.57414698600769,0.1299389168145208,1.98046875,140,30,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_2.mp3,zh,replace,10,266.08,34.6141095161438,0.13008910672032398,-9.125,140,30,True,language_comparison,medium,
【课外侦探组1】第15章，至尊账号网上屠龙_2.mp3,zh,regular_expression,10,266.08,35.6297664642334,0.1339062179202999,-3.93359375,140,30,True,language_comparison,medium,
016 花木兰 Mulan.mp3,en,DFA,10,701.84,72.05775928497314,0.10266978126777206,-4.1875,246,92,True,language_comparison,medium,
016 花木兰 Mulan.mp3,en,aho_corasick,10,701.84,71.23826003074646,0.10150213728306516,5.94921875,246,92,True,language_comparison,medium,
016 花木兰 Mulan.mp3,en,trie_tree,10,701.84,71.06465983390808,0.10125478717928314,-6.91796875,246,92,True,language_comparison,medium,
016 花木兰 Mulan.mp3,en,replace,10,701.84,71.07690691947937,0.10127223714732612,-1.94140625,246,92,True,language_comparison,medium,
